## 1.1.1
## bam0=/bigdata/stajichlab/tkurb001/2020/Illumina_Black_Yeasts/Xenobiotica/blobplot/bam/CCFEE_5816.Exophiala.xenobiotica.remap.bam
# name	colour	count_visible	count_visible_perc	span_visible	span_visible_perc	n50	gc_mean	gc_std	bam0_mean	bam0_std	bam0_read_map	bam0_read_map_p
all	None	3,288	100.0%	35,282,509	100.0%	3,965,624	0.5	0.037	389.8	627.3	103,699,618	99.3%
Chaetothyriales	#1f77b4	1,093	100.0%	33,298,752	100.0%	3,965,624	0.52	0.032	400.8	806.8	98,490,969	94.3%
no-hit	#d3d3d3	2,091	100.0%	1,361,957	100.0%	912	0.5	0.038	384.6	524.3	3,907,855	3.7%
Ascomycota-undef	#ff7f0e	22	100.0%	340,447	100.0%	40,493	0.51	0.014	282.0	181.2	543,519	0.5%
Eurotiales	#d62728	25	100.0%	119,072	100.0%	9,769	0.51	0.031	553.5	291.8	341,470	0.3%
Helotiales	#9467bd	19	100.0%	51,398	100.0%	26,285	0.49	0.028	265.4	197.1	147,084	0.1%
Xylariales	#e377c2	9	100.0%	32,542	100.0%	4,141	0.5	0.045	268.6	161.8	67,179	0.1%
Hypocreales	#7f7f7f	6	100.0%	32,066	100.0%	8,420	0.51	0.025	280.4	362.2	48,826	0.0%
Pleosporales	#bcbd22	9	100.0%	18,571	100.0%	4,501	0.52	0.019	392.8	205.4	42,147	0.0%
other	#ffffff	14	100.0%	27,704	100.0%	6,742	0.51	0.028	491.6	221.1	110,569	0.1%
Onygenales	None	5	100.0%	10,244	100.0%	8,095	0.5	0.019	487.6	174.5	42,671	0.0%
Eukaryota-undef	None	1	100.0%	6,742	100.0%	6,742	0.48	0.0	592.6	0.0	28,177	0.0%
Sordariales	None	2	100.0%	3,763	100.0%	2,897	0.5	0.0028	826.4	123.4	23,701	0.0%
Phaeomoniellales	None	2	100.0%	2,291	100.0%	1,965	0.56	0.024	173.4	104.5	1,594	0.0%
Saccharomycetales	None	1	100.0%	1,938	100.0%	1,938	0.49	0.0	376.5	0.0	5,146	0.0%
Verrucariales	None	1	100.0%	1,285	100.0%	1,285	0.52	0.0	381.7	0.0	3,459	0.0%
Glomerellales	None	1	100.0%	968	100.0%	968	0.48	0.0	622.2	0.0	4,248	0.0%
Botryosphaeriales	None	1	100.0%	473	100.0%	473	0.49	0.0	471.5	0.0	1,573	0.0%
