## 1.1.1
## bam0=/bigdata/stajichlab/tkurb001/2020/Illumina_Black_Yeasts/Xenobiotica/blobplot/bam/CCFEE_6059.Exophiala.xenobiotica.remap.bam
# name	colour	count_visible	count_visible_perc	span_visible	span_visible_perc	n50	gc_mean	gc_std	bam0_mean	bam0_std	bam0_read_map	bam0_read_map_p
all	None	2,243	100.0%	33,558,225	100.0%	4,061,620	0.5	0.039	325.6	266.1	60,178,828	99.3%
Chaetothyriales	#1f77b4	507	100.0%	32,425,238	100.0%	4,061,620	0.51	0.037	364.5	215.3	57,256,341	94.5%
no-hit	#d3d3d3	1,677	100.0%	818,570	100.0%	600	0.5	0.039	307.2	261.1	2,241,624	3.7%
Ascomycota-undef	#ff7f0e	9	100.0%	181,055	100.0%	54,859	0.51	0.016	294.0	67.6	312,411	0.5%
Eurotiales	#d62728	24	100.0%	51,605	100.0%	5,797	0.51	0.033	515.7	413.7	129,529	0.2%
Eukaryota-undef	#9467bd	1	100.0%	27,827	100.0%	27,827	0.4	0.0	202.9	0.0	41,139	0.1%
Xylariales	#e377c2	2	100.0%	12,232	100.0%	10,791	0.51	0.024	289.2	53.1	22,168	0.0%
Phaeomoniellales	#7f7f7f	1	100.0%	7,393	100.0%	7,393	0.5	0.0	233.4	0.0	12,575	0.0%
Onygenales	#bcbd22	3	100.0%	7,021	100.0%	5,893	0.51	0.017	259.0	106.5	12,029	0.0%
other	#ffffff	19	100.0%	27,284	100.0%	2,195	0.5	0.017	715.6	783.7	151,012	0.2%
Botryosphaeriales	None	2	100.0%	6,778	100.0%	6,174	0.5	0.0097	286.8	58.8	11,779	0.0%
Pleosporales	None	5	100.0%	4,516	100.0%	917	0.51	0.011	359.3	56.9	11,198	0.0%
Fabales	None	1	100.0%	3,707	100.0%	3,707	0.49	0.0	2783.2	0.0	75,192	0.1%
Capnodiales	None	2	100.0%	3,540	100.0%	2,967	0.5	0.024	316.4	68.0	6,976	0.0%
Helotiales	None	3	100.0%	3,020	100.0%	2,195	0.5	0.021	347.9	153.3	10,165	0.0%
Erysiphales	None	2	100.0%	2,451	100.0%	2,136	0.51	0.0083	1033.9	361.3	13,674	0.0%
Microsporidia-undef	None	1	100.0%	1,496	100.0%	1,496	0.47	0.0	686.2	0.0	7,481	0.0%
Glomerellales	None	1	100.0%	968	100.0%	968	0.48	0.0	404.0	0.0	2,850	0.0%
Hemiptera	None	1	100.0%	468	100.0%	468	0.5	0.0	2951.3	0.0	10,066	0.0%
Hypocreales	None	1	100.0%	340	100.0%	340	0.51	0.0	658.2	0.0	1,631	0.0%
