## 1.1.1
## bam0=/bigdata/stajichlab/tkurb001/2020/Illumina_Black_Yeasts/Xenobiotica/blobplot/bam/CCFEE_6036.Exophiala.xenobiotica.remap.bam
# name	colour	count_visible	count_visible_perc	span_visible	span_visible_perc	n50	gc_mean	gc_std	bam0_mean	bam0_std	bam0_read_map	bam0_read_map_p
all	None	2,530	100.0%	33,149,539	100.0%	3,925,530	0.5	0.037	193.2	200.2	31,698,781	99.3%
Chaetothyriales	#1f77b4	587	100.0%	31,810,746	100.0%	3,925,530	0.51	0.031	212.4	186.8	29,634,692	92.9%
no-hit	#d3d3d3	1,877	99.9%	1,005,004	100.0%	659	0.5	0.038	185.4	199.6	1,611,251	5.0%
Ascomycota-undef	#ff7f0e	14	100.0%	147,418	100.0%	40,032	0.51	0.024	194.1	98.0	142,580	0.4%
Eurotiales	#d62728	21	100.0%	52,404	100.0%	5,689	0.51	0.018	230.8	196.1	61,386	0.2%
Helotiales	#9467bd	7	100.0%	28,512	100.0%	7,676	0.49	0.015	149.5	43.9	31,602	0.1%
Pezizales	#e377c2	1	100.0%	24,099	100.0%	24,099	0.51	0.0	116.3	0.0	19,538	0.1%
Capnodiales	#7f7f7f	3	100.0%	21,850	100.0%	20,582	0.53	0.034	147.7	52.6	21,595	0.1%
Hypocreales	#bcbd22	3	100.0%	14,730	100.0%	12,137	0.52	0.017	310.5	165.8	19,390	0.1%
other	#ffffff	17	100.0%	44,776	100.0%	6,623	0.5	0.02	350.8	499.7	156,747	0.5%
Xylariales	None	2	100.0%	12,017	100.0%	10,774	0.52	0.02	240.7	111.0	12,795	0.0%
Phaeomoniellales	None	1	100.0%	7,659	100.0%	7,659	0.49	0.0	166.8	0.0	8,906	0.0%
Fabales	None	1	100.0%	6,623	100.0%	6,623	0.5	0.0	2327.7	0.0	107,503	0.3%
Saccharomycetales	None	1	100.0%	5,063	100.0%	5,063	0.5	0.0	160.6	0.0	5,671	0.0%
Pleosporales	None	5	100.0%	4,152	100.0%	576	0.51	0.027	178.8	46.7	4,855	0.0%
Onygenales	None	1	100.0%	3,811	100.0%	3,811	0.51	0.0	237.2	0.0	6,304	0.0%
Glomerellales	None	3	100.0%	2,726	100.0%	895	0.48	0.0051	310.5	25.8	5,828	0.0%
Verrucariales	None	1	100.0%	1,345	100.0%	1,345	0.51	0.0	243.8	0.0	2,287	0.0%
Eukaryota-undef	None	1	100.0%	776	100.0%	776	0.5	0.0	336.3	0.0	1,820	0.0%
Botryosphaeriales	None	1	100.0%	604	100.0%	604	0.49	0.0	184.7	0.0	778	0.0%
